itemId,title,outdoor,time,genre
0,上海迪士尼度假区,1,4,·上海迪士尼乐园是中国内地首座迪士尼主题乐园，欢迎来到一个前所未见的神奇世界。·乐园分为米奇大街、奇想花园、梦幻世界、探险岛、宝藏湾、明日世界和迪士尼·皮克斯玩具总动员七大主题园区。·乐园内拥有世界上最大的迪士尼城堡“奇幻童话城堡”，游客可以在乐园内与众多迪士尼朋友互动，感受独特的沉浸式体验。·建议提前下载上海迪士尼度假区官方APP，查看乐园地图、等候时间、项目及演出时间、领取FP等。
1,田子坊,1,3,·由上海最具特色的石库门里弄演变而来，位于浦西，堪称很小资的地点之一。·名字是画家黄永玉起的雅号，个性、文艺的年轻人初到上海定奔此地，感受田子坊与众不同的个性。·走在田子坊，迂回穿行在迷宫般的弄堂里，特色小店和艺术作坊不经意间跳入视线。从茶馆、露天餐厅、露天咖啡座、画廊、家居摆设到手工艺品，以及众多沪上知名的创意工作室应有尽有。
2,外滩,1,2,·位于上海市中心黄浦区的黄浦江畔，是最具上海城市象征意义的景点之一。·长1.5公里，由南向北漫步，左手边是宽阔的中山东一路，路边一字排开着数十栋风格迥异的外国建筑。·紧靠上海的母亲河—黄浦江，江上巨轮穿梭，江对岸则矗立着金茂大厦、环球金融中心等摩天建筑。·夜晚，浦江两岸霓虹齐放，适合与爱人漫步在外滩，感受着“不夜城”的韵味与浪漫。
3,东方明珠,2,3,·毗邻黄浦江，与外滩隔江相望，是上海的标志性文化景观之一。·集都市观光、时尚餐饮、购物娱乐、历史陈列、浦江游览、会展演出等多功能于一体，是全国首批5A级旅游景区。·高468米，从上到下有11个球体串联。位于267米球体的旋转餐厅，是360°观赏上海夜景的绝佳去处。·259米处为悬空观光廊。通道采用钢结构，玻璃敷设地面与墙体，可以俯视黄浦江和陆家嘴全貌。
4,朱家角古镇景区,1,4,·俗称“角里”，离上海最近的江南水乡古镇，是上海四大历史文化名镇之一。·镇内小桥流水，古意盎然，展现出江南水乡的缩影。·最出名的放生桥是上海地区最大的一座五孔联拱石桥。·北大街很多特色小吃店，有著名的阿婆粽，还有各种精致的糕点都可以在这里吃到。
5,1933老场坊,2,2,·是由宰牲场改造的一座别具特色的创意园区，经常举办话剧表演、时装秀等，属于艺术聚集地。·整个建筑融汇了东西方特色，外方内圆的建筑结构、纵横交错的廊桥，营造出迷宫一般的效果。·独具匠心的设计、令人惊叹的空间，这里还承接过法拉利F1派对、雷达表50周年庆等大型商业活动。·这里还是《小时代》的取景地，天气好的时候还能看到不少新人在这里拍摄婚纱照。
6,上海海昌海洋公园,2,4,上海海昌海洋公园被评定为国家4A级旅游景区，公园紧密围绕海洋文化特色，分为人鱼海湾、极地小镇、冰雪王国、海底奇域、海洋部落五大主题区；拥有《虎鲸科普秀》、《海豚恋曲》、《海象嘻游记》、《白鲸之恋》、《海兽科普喂食秀》、《人鱼童话》、《水舞鱼间》、《小镇派对》、《水上飞人》、《国风盛会》、《飞仙小龙女》、《七萌环游记》、《小丑见面会》、《海洋梦幻花车巡游》、《幻海之境》、《海洋电音趴》十六大明星剧目；设有南极企鹅馆、海兽探秘馆、冰山北极馆、海底世界馆、火山鲨鱼馆、珊瑚水母馆六大动物展示场馆；内有北极熊、帝企鹅等三万余只珍稀海洋动物；更有火山漂流、海豚过山车、时空缆车、深海奇航、天幕影院、超感4D影院六大游乐设施设备；同时配套上海海昌海洋公园度假酒店，拥有企鹅、美人鱼等五大海洋主题客房，为游客带来精彩纷呈的海洋梦幻之旅！
7,豫园,1,3,豫园位于上海豫园旅游商业区的东北部，与上海城隍庙、上海豫园旅游商城毗邻，是江南古典园林，闻名中外的名胜古迹和游览胜地。1982年被国务院批准成为全国重点文物保护单位。豫园原是明代的一座私人园林，始建于嘉靖、万历年间，距今已有四百五十余年历史。园主人潘允端，曾任四川布政使。现豫园占地2公顷，楼阁参差，山石峥嵘，树木苍翠，以清幽秀丽，玲珑剔透见长，具有小中见大的特点，体现出明清两代江南园林建筑的艺术风格。豫园内至今还保存着“海派书画”的发祥地—“藏书楼”、上海小刀会起义指挥部所在“点春堂”等史迹。历代古人对豫园有“奇秀甲于东南”、“东南名园冠”等赞誉。
8,南京路步行街,1,2,·全国十大著名步行街之一，是上海开埠后最早建立的一条商业街。·这里是百货公司的聚集地，商品类目齐全，是购物者的天堂。·随处可见富有创意的城市雕塑，街中央还有大量椅子供游客小坐，文艺时尚气息十足。·南京路步行街上，可以看到像缩小版旧式电车的铛铛车穿梭往来，很有老上海的味道，不妨体验一下。
9,上海野生动物园,1,3,•上海野生动物园是集野生动物饲养、展览、繁育保护、科普教育与休闲娱乐为一体的主题公园。景区于1995年11月18日正式对外开放，地处上海浦东新区，占地153公顷（约2300亩），是首批国家5A级旅游景区。•园区居住着大熊猫、金丝猴、金毛羚牛、朱鹮、长颈鹿、斑马、羚羊、白犀牛、猎豹等来自国内外的珍稀野生动物200余种，上万余只。•步行区，让您在寓教于乐中进一步了解动物朋友。不仅可以观赏到大熊猫、非洲象、亚洲象、长颈鹿、黑猩猩、长臂猿、狐猴、火烈鸟、朱鹮等众多珍稀野生动物，更有诸多特色的动物行为展示和互动体验呈现。•游客须知：即日起园内实行全面禁烟！为了您和其他游客及动物们的健康，请不要在园内吸烟，敬请配合，多谢理解！
10,上海科技馆,2,3,"·是上海最大的科普教育殿堂,在这里可通过各种现代化设备全方位了解自然科学。·馆内包括天地馆、生命馆、智慧馆等五个主要展馆、七个展区和立体巨幕、球幕、4D等四个影院。·展品十分丰富，有数百件精美的野生动物标本、有各种功能迥异的机器人表演以及多种科技发明的展示。·馆内涉猎的自然常识和科技知识非常丰富，而且有孩子参与、感受、互动的环节，是亲子游的好去处。"
11,泰晤士小镇,1,2,·模仿英国泰晤士建造的高档别墅区，建筑很有特色，每个街区都呈现不同外观效果，是居住、旅游、休闲多项合一的大型社区。·小镇里有一座教堂，东面有湖面景观和游艇码头，还有小火车可以游览小镇。 ·小镇在现有的基础上提出创意产业集聚区的概念，在这里可以观看各种艺术展览。雕塑、摄影、剪纸。书法，各种创意产业生根发芽。
12,上海环球金融中心,2,2,·共100层，设有观光天阁，是目前世界上最高的观景平台，超过“世界最高观光厅”的加拿大CN电视塔。·漫步在474米高的观光天阁，有如云中漫步。俯瞰上海，浦江两岸美景尽在眼底。·97层观光天桥的玻璃幕顶可以打开，一旦天气条件允许，游客可直接抬头看到蓝天白云。
13,马勒别墅,2,2,马勒别墅是1936年建造完成的私人花园别墅，主建筑为三层北欧式挪威风格，室内装饰十分讲究，过道、走廊等处都装有护墙板，到处都雕着美丽精致的图案，室内穹顶上装有彩色玻璃，在阳光的照射下呈现出斑斓柔和的色彩。这里起初为犹太富商马勒所有，后几经转手，1989年成为上海市一级近代保护建筑，2005年变身为衡山马勒别墅饭店对外营业。可以免费进去餐馆拍照，也可以在花园中享受浪漫的欧式下午茶。
14,武康路,1,1,·有37处历史建筑的“中国历史文化名街”，被誉为上海中心城区最具欧陆风情的街区之一。·这里也是名副其实的“名人路”，文学巨匠巴金、黄兴、宋庆龄等都曾居住于此。·除了名人故居，99号一幢尖顶耸立的特色洋房是正广和老屋，电影《色戒》在此取景。·西班牙式、法国文艺复兴式等风格的建筑极富特色，两旁的古树郁郁葱葱，适合散步拍照。
15,上海杜莎夫人蜡像馆,2,2,上海杜莎夫人蜡像馆于2006年5月1日落成，是全球第六家、中国内地第一家的杜莎夫人蜡像馆。身为亚洲旗舰馆，上海杜莎夫人秉承杜莎传奇非凡的品牌历史和匠人精神，并感知当下潮流文化，以名人为创作灵感，提供一个趣味性强、沉浸式的游玩体验。精湛蜡艺定格巨星光辉 有着近两百年多历史的杜莎夫人蜡像馆源起于伦敦，经历了法国大革命、世界二战后，顽强的存活下来，并且规模更大、技术更精湛，成为世界名人殿堂。上海杜莎更传承品牌经典，以精湛蜡像工艺，融合多彩的历史、定格21世纪的巨星光辉。零距离玩转中外娱乐盛宴上海杜莎拥有最先进的高科技元素，为全球拥有最丰富互动体验的场馆。馆内设有十二个主题展区，包含内地首尊心跳科技朱一龙蜡像、全球第一尊机器蜡像——《捉妖记》中的井柏然与胡巴；音乐梦工厂的光影炫酷AR互动体验，邀您与TFBOYS、女神卡卡尽情放声歌唱；FASHION时尚专区的潮流秀场，与天使超模Alessandra Ambrosio上演T台大秀、A-LIST顶级派对专区的星光璀璨盛典，在红毯上您可以遇见妮可基德曼、汤姆克鲁兹、唐嫣、杨紫琼、朱一龙、郑恺，与明星们一起体验被镁光灯追逐的惊喜与梦幻；英伦皇家派对专区的下午茶飨宴，邀您在游览间隙与英国女王伊丽莎白二世、威廉王子、凯特王妃一同感受正统英伦皇家文化；影视娱乐专区的沉浸式影视场景中，您可以与何老师同台主持《快乐大本营》、也可以重温《康熙来了》的感动，与小S和蔡康永聊聊娱乐圈趣闻；《盗墓笔记》IP实景体验区，还原九头社柏、西沙海底、云顶天宫、青铜门等经典场景，惊现刺激就等您来挑战！精彩无比的视听效果及新奇刺激的互动体验，让参观者仿佛置身于著名时代或场景之中，与心爱的偶像零距离接触，感受明星的魅力风采。
16,中华艺术宫,2,2,·曾是上海世博会的中国国家馆，现有藏品8000余件，收藏了大量张聿光、吴冠中等著名画家的画作。·艺术宫的展厅主要位于0米层、5米层、33米层、41米层、49米层，推荐从上往下依次参观。·最有看点的是镇馆之宝——多媒体版《清明上河图》，位于49米层，但需另付门票才能观赏。·除此之外，还有皮影艺术展、近现代美术展、上海艺术家邀请展等多个展厅可供观赏。
17,上海自然博物馆,2,3,·上海自然博物馆是中国最大的自然博物馆之一，展出了上万件标本藏品，内容丰富。·博物馆共有五层，常设展览有10个，分为自然演化、生命环境、人类文明三个体系。·最具看点的是体长约26米的中加马门溪龙的骨架，这是亚洲最大、世界上脖子最长的恐龙。·探索中心是小朋友的最爱，能体验到亲手挖掘化石的成就感，亲子出游的朋友不要错过（需现场提前预约）。
18,上海海洋水族馆,2,3,·海洋水族馆共有三层，进入水族馆后乘电梯上三层，然后由上至下参观。·其中包括中国展区以及美洲展区等等，每个展区的海洋生物种类都非常的丰富。·整个展馆就是以主题、图片、等不同的效果，展示的各类的海洋生物。·海洋馆里还有世界上唯一展示亚马逊热带雨林的观光隧道。在一层还包含了一个快餐厅。
19,上海四行仓库抗战纪念馆,2,2,四行仓库建于1931年，是一座钢筋混凝土结构的六层大厦，因是旧上海金城、中南、大陆、盐业四间银行共同出资建设的仓库而得名。淞沪会战时期，这里曾驻扎452名国民党将士英勇抵抗日军的进攻。抗战纪念馆大门入口处保留了原四行仓库的铁门，斑斑銹迹。四行仓库抗战纪念馆包括序厅、“血鏖淞沪”、“坚守四行”、“孤军抗争”、“不朽丰碑”及尾厅等六个部分。纪念馆以一封谢晋元在赴淞沪战场前写给妻子凌维诚的家书开篇，展现了以谢晋元为首的“八百壮士”在国难当前之际，舍家为国的家国情怀，展现出对抗战必胜的坚定决心。展览运用实物、雕塑、现代科技等手段再现当年战斗场景，通过图文展板、巨幅绘画等形式展示上海人民投身全民族抗战、共御外侮的历史事实，以及中外各界对“八百壮士”英雄事迹的颂扬和缅怀
