weather,category
0,中雨/中雨
1,晴/晴
2,多云/雷阵雨
3,雷阵雨/阴
4,小雨/中雨
5,雷阵雨/多云
6,多云/多云
7,阵雨/多云
8,小雨/晴
9,阴/阴
10,小雨/小雨
11,小雨/阴
12,小雨/多云
13,多云/晴
14,阵雨/阴
15,小雨/大雨
16,阴/多云
17,多云/阴
18,晴/多云
19,中雨/阵雨
20,大雨/中雨
21,阴/小雨
22,中雨/暴雨
23,大雨/大雨
24,中雨/小雨
25,中雨/多云
26,阴/中雨
27,晴/阴
28,晴/小雨
29,多云/小雨
30,阴/晴
31,多云/中雨
32,中雨/大雨
33,中雨/阴
34,阵雨/中雨
35,阴/大雨
36,多云/阵雨
37,暴雨/阵雨
38,阴/阵雨
39,暴雨/大雨
40,小雨/雨夹雪
41,雷阵雨/雷阵雨
42,大雨/小雨
43,小雪/晴
44,阵雨/阵雨
45,雨夹雪/雨夹雪
46,阵雨/小雨
47,小雨/阵雨
48,阵雨/晴
49,大雨/阴
50,阴/雨夹雪
51,雨夹雪/小雨
52,雷阵雨/阵雨
53,雾/多云
54,晴/阵雨
55,大雨/阵雨
56,阵雨/大雨
57,暴雨/小雨
58,暴雨/暴雨
59,小雨/暴雨
60,中雨/雷阵雨
61,中雨/雨夹雪
62,小雪/大雪
63,大到暴雨/小雨
64,雨夹雪/阴
65,暴雨/中雨
