businessId,id,name,genre,isopen,stars
0,QXAEGFB4oINsVuTFxEYKFQ,Emerald Chinese Restaurant,"Specialty Food, Restaurants, Dim Sum, Imported Food, Food, Chinese, Ethnic Food, Seafood",1,2.5
1,gnKjwL_1w79qoiV3IC_xQQ,Musashi Japanese Restaurant,"Sushi Bars, Restaurants, Japanese",1,4.0
2,tstimHoMcYbkSC4eBA1wEg,Maria's Mexican Restaurant & Bakery,"Mexican, Restaurants, Patisserie/Cake Shop, Food, Bars, Nightlife",1,4.5
3,q2KtxnPa6rPSpAlMbg9l8g,Nothing Bundt Cakes,"Desserts, Food, Cupcakes, Bakeries",1,4.0
4,dQj5DLZjeDK3KFysh1SYOQ,Apteka,"Nightlife, Bars, Polish, Modern European, Restaurants, Vegan",1,4.5
5,44YFU284Z3KDEy25QyVoUw,Nee House Chinese Restaurant,"Chinese, Restaurants",1,3.5
6,f2ZWZPENViL92BrFsIgR6w,Amazing Cuts,"Beauty & Spas, Hair Salons",1,4.5
7,r8764MtYyt8JhxMvrfM_xQ,Vintage 95,"American (New), Bars, Wine Bars, Nightlife, Restaurants",0,4.0
8,jScBTQtdAt-8RshaiBEHgw,Served,"Ethnic Food, American (New), Burgers, Food, Restaurants, Asian Fusion, Specialty Food, Mexican, Sandwiches, Breakfast & Brunch, Korean",1,4.5
9,U3kygJOTlTQFlfaZS7sQjA,JJ's Red Hots - Dilworth,"Caterers, Hot Dogs, Restaurants, Vegetarian, American (Traditional), Event Planning & Services",1,4.0
10,c35qzLN6ItDpVIoj2uQW4Q,Ravi Soups,"Soup, Restaurants, Sandwiches",1,4.5
11,nsNONDHbV7Vudqh21uicqw,Salt Cellar,"Seafood, Restaurants",1,3.5
12,6fPQJq4f_yiq1NHn0fd11Q,La Creperie,"French, Restaurants, Creperies",1,3.5
13,k-dDZvTeLysoJvjHI-qr9g,Feast Buffet,"Buffets, Restaurants",1,3.0
14,MhnihE0alud0ereVInSt8Q,Yummy Yummy Chinese Restaurant,"Chinese, Restaurants",1,3.0
15,i6hWP3si97eKQl_JyK8L3w,Hilton Toronto,"Hotels, Event Planning & Services, Hotels & Travel",1,3.5
16,-ucQnELMVRIUOi3-Kv5r0Q,Euro Cycle Las Vegas,"Motorcycle Repair, Motorcycle Rental, Motorcycle Dealers, Automotive, Hotels & Travel",1,3.5
17,tWjfgVtTD5n01Cq9dFWGsA,Cibo,"Italian, Canadian (New), Food, American (New), Restaurants",1,3.5
18,dUffgo9Lh_Vk9TLuFR5ywg,Oregano's Pizza Bistro,"Restaurants, Pizza, Sandwiches, Italian",1,3.5
19,_pBXtjN43eqMV0XZTz7nmw,Encore Beach Club at Night,"Music Venues, Dance Clubs, Arts & Entertainment, Nightlife",0,3.5
